date,key,value
1984,Beer,2.16666666667
1984,Liquor,2.44444444444
1984,Wine,1.88888888889
1985,Beer,3.66666666667
1985,Liquor,3.16666666667
1985,Wine,4.72222222222
1986,Beer,3.76470588235
1986,Liquor,1.82352941176
1986,Wine,1.82352941176
1987,Beer,2.55
1987,Liquor,3.1
1987,Wine,5.2
1988,Beer,1.83333333333
1988,Liquor,2.72222222222
1988,Wine,2.66666666667
1989,Beer,3.85714285714
1989,Liquor,4.0
1989,Wine,2.09523809524
1990,Beer,2.04347826087
1990,Liquor,3.4347826087
1990,Wine,3.47826086957
1991,Beer,2.7619047619
1991,Liquor,3.52380952381
1991,Wine,2.42857142857
1992,Beer,2.61764705882
1992,Liquor,3.55882352941
1992,Wine,2.05882352941
1993,Beer,5.34482758621
1993,Liquor,2.8275862069
1993,Wine,3.31034482759
1994,Beer,2.65384615385
1994,Liquor,2.61538461538
1994,Wine,2.69230769231
1995,Beer,1.82051282051
1995,Liquor,3.61538461538
1995,Wine,2.84615384615
1996,Beer,4.76666666667
1996,Liquor,3.1
1996,Wine,3.03333333333
1997,Beer,3.18965517241
1997,Liquor,2.79310344828
1997,Wine,2.79310344828
1998,Beer,2.6170212766
1998,Liquor,2.21276595745
1998,Wine,2.59574468085
1999,Beer,3.14035087719
1999,Liquor,11.4035087719
1999,Wine,4.87719298246
2000,Beer,2.77192982456
2000,Liquor,2.59649122807
2000,Wine,3.43859649123
2001,Beer,3.41304347826
2001,Liquor,2.23913043478
2001,Wine,2.41304347826
2002,Beer,2.76923076923
2002,Liquor,2.87179487179
2002,Wine,1.66666666667
2003,Beer,1.97222222222
2003,Liquor,6.41666666667
2003,Wine,1.97222222222
2004,Beer,2.65714285714
2004,Liquor,1.71428571429
2004,Wine,3.77142857143
2005,Beer,4.975
2005,Liquor,2.45
2005,Wine,3.25
2006,Beer,3.2
2006,Liquor,3.9
2006,Wine,1.3
2007,Beer,3.86666666667
2007,Liquor,6.9
2007,Wine,2.86666666667
2008,Beer,3.55555555556
2008,Liquor,3.44444444444
2008,Wine,1.8
2009,Beer,2.45070422535
2009,Liquor,2.47887323944
2009,Wine,3.32394366197
2010,Beer,2.78571428571
2010,Liquor,2.64285714286
2010,Wine,3.54761904762
2011,Beer,3.71428571429
2011,Liquor,2.85714285714
2011,Wine,4.11111111111
2012,Beer,3.12195121951
2012,Liquor,3.70731707317
2012,Wine,2.53658536585
2013,Beer,1.04166666667
2013,Liquor,3.25
2013,Wine,2.41666666667